[FastRecognizer] Loading graph into C++ engine...
[FastRecognizer] Loaded 952883 segments.

  MMLU High School Biology Benchmark
  310 questions, model: wavefront_only
  [144/310] Q143: CORRECT (got D, correct D) — 28.5% — 59.6s (~157m left)
  [145/310] Q144: WRONG (got B, correct A) — 28.3% — 80.0s (~157m left)
  [146/310] Q145: WRONG (got A, correct D) — 28.1% — 75.9s (~156m left)
  [147/310] Q146: WRONG (got C, correct A) — 27.9% — 66.6s (~155m left)
  [148/310] Q147: WRONG (got B, correct C) — 27.7% — 76.4s (~155m left)
  [149/310] Q148: WRONG (got D, correct B) — 27.5% — 68.8s (~154m left)
  [150/310] Q149: WRONG (got C, correct D) — 27.3% — 70.0s (~153m left)
  [151/310] Q150: CORRECT (got B, correct B) — 27.8% — 62.0s (~152m left)
  [152/310] Q151: ERROR (got None, correct A) — 27.6% — 16.8s (~151m left)
  [153/310] Q152: WRONG (got D, correct A) — 27.5% — 69.2s (~150m left)
  [154/310] Q153: WRONG (got C, correct D) — 27.3% — 64.6s (~149m left)
  [155/310] Q154: WRONG (got B, correct D) — 27.1% — 60.4s (~148m left)
  [156/310] Q155: WRONG (got D, correct B) — 26.9% — 53.0s (~147m left)
  [157/310] Q156: WRONG (got D, correct A) — 26.8% — 74.6s (~146m left)
  [158/310] Q157: ERROR (got None, correct B) — 26.6% — 45.7s (~145m left)
  [159/310] Q158: CORRECT (got D, correct D) — 27.0% — 27.7s (~144m left)
  [160/310] Q159: CORRECT (got D, correct D) — 27.5% — 45.1s (~143m left)
  [161/310] Q160: WRONG (got C, correct D) — 27.3% — 43.6s (~142m left)
  [162/310] Q161: WRONG (got D, correct B) — 27.2% — 97.4s (~141m left)
  [163/310] Q162: WRONG (got B, correct D) — 27.0% — 79.6s (~141m left)
  [164/310] Q163: WRONG (got A, correct B) — 26.8% — 72.2s (~140m left)
  [165/310] Q164: WRONG (got C, correct A) — 26.7% — 82.5s (~139m left)
  [166/310] Q165: WRONG (got D, correct B) — 26.5% — 78.3s (~139m left)
  [167/310] Q166: WRONG (got B, correct C) — 26.3% — 73.6s (~138m left)
  [168/310] Q167: WRONG (got D, correct C) — 26.2% — 44.1s (~137m left)
  [169/310] Q168: WRONG (got C, correct D) — 26.0% — 73.6s (~136m left)
  [170/310] Q169: WRONG (got B, correct D) — 25.9% — 30.6s (~135m left)
  [171/310] Q170: WRONG (got A, correct D) — 25.7% — 47.5s (~134m left)
  [172/310] Q171: WRONG (got D, correct A) — 25.6% — 58.8s (~133m left)
  [173/310] Q172: WRONG (got C, correct A) — 25.4% — 48.6s (~132m left)
  [174/310] Q173: WRONG (got D, correct B) — 25.3% — 47.8s (~130m left)
  [175/310] Q174: WRONG (got C, correct D) — 25.1% — 48.7s (~129m left)
  [176/310] Q175: CORRECT (got D, correct D) — 25.6% — 43.4s (~128m left)
  [177/310] Q176: CORRECT (got C, correct C) — 26.0% — 25.0s (~127m left)
  [178/310] Q177: WRONG (got D, correct A) — 25.8% — 17.7s (~125m left)
  [179/310] Q178: WRONG (got C, correct B) — 25.7% — 64.9s (~125m left)
  [180/310] Q179: WRONG (got B, correct A) — 25.6% — 64.6s (~124m left)
  [181/310] Q180: CORRECT (got C, correct C) — 26.0% — 38.8s (~123m left)
  [182/310] Q181: WRONG (got D, correct A) — 25.8% — 64.8s (~122m left)
  [183/310] Q182: WRONG (got A, correct C) — 25.7% — 79.2s (~121m left)
  [184/310] Q183: WRONG (got B, correct D) — 25.5% — 69.6s (~120m left)
  [185/310] Q184: WRONG (got B, correct D) — 25.4% — 61.5s (~119m left)
  [186/310] Q185: WRONG (got A, correct D) — 25.3% — 68.8s (~118m left)
  [187/310] Q186: CORRECT (got C, correct C) — 25.7% — 53.4s (~117m left)
  [188/310] Q187: WRONG (got D, correct A) — 25.5% — 31.5s (~116m left)
  [189/310] Q188: WRONG (got D, correct C) — 25.4% — 27.1s (~115m left)
  [190/310] Q189: CORRECT (got D, correct D) — 25.8% — 66.7s (~114m left)
  [191/310] Q190: WRONG (got A, correct C) — 25.7% — 39.5s (~113m left)
  [192/310] Q191: WRONG (got D, correct B) — 25.5% — 72.3s (~112m left)
  [193/310] Q192: WRONG (got C, correct B) — 25.4% — 43.8s (~111m left)
  [194/310] Q193: WRONG (got C, correct D) — 25.3% — 25.1s (~110m left)
  [195/310] Q194: WRONG (got A, correct D) — 25.1% — 72.7s (~109m left)
  [196/310] Q195: WRONG (got C, correct A) — 25.0% — 35.8s (~108m left)
  [197/310] Q196: CORRECT (got B, correct B) — 25.4% — 61.7s (~107m left)
  [198/310] Q197: WRONG (got C, correct A) — 25.3% — 33.0s (~106m left)
  [199/310] Q198: WRONG (got B, correct A) — 25.1% — 15.6s (~104m left)
  [200/310] Q199: WRONG (got D, correct A) — 25.0% — 41.4s (~103m left)
  [201/310] Q200: WRONG (got A, correct B) — 24.9% — 36.6s (~102m left)
  [202/310] Q201: WRONG (got A, correct D) — 24.8% — 71.7s (~101m left)
  [203/310] Q202: CORRECT (got D, correct D) — 25.1% — 75.6s (~101m left)
  [204/310] Q203: WRONG (got D, correct B) — 25.0% — 76.1s (~100m left)
  [205/310] Q204: CORRECT (got B, correct B) — 25.4% — 50.7s (~99m left)
  [206/310] Q205: WRONG (got C, correct A) — 25.2% — 79.9s (~98m left)
  [207/310] Q206: WRONG (got C, correct D) — 25.1% — 50.7s (~97m left)
  [208/310] Q207: WRONG (got C, correct B) — 25.0% — 45.6s (~96m left)
  [209/310] Q208: WRONG (got A, correct B) — 24.9% — 85.4s (~95m left)
  [210/310] Q209: WRONG (got B, correct A) — 24.8% — 39.1s (~94m left)
  [211/310] Q210: CORRECT (got B, correct B) — 25.1% — 71.9s (~94m left)
  [212/310] Q211: WRONG (got D, correct C) — 25.0% — 69.2s (~93m left)
  [213/310] Q212: CORRECT (got C, correct C) — 25.4% — 85.9s (~92m left)
  [214/310] Q213: WRONG (got D, correct B) — 25.2% — 63.2s (~91m left)
  [215/310] Q214: WRONG (got D, correct B) — 25.1% — 69.0s (~90m left)
  [216/310] Q215: WRONG (got C, correct D) — 25.0% — 34.2s (~89m left)
  [217/310] Q216: WRONG (got D, correct C) — 24.9% — 29.3s (~88m left)
  [218/310] Q217: WRONG (got D, correct C) — 24.8% — 76.4s (~87m left)
  [219/310] Q218: WRONG (got C, correct D) — 24.7% — 54.8s (~86m left)
  [220/310] Q219: WRONG (got D, correct C) — 24.5% — 41.9s (~85m left)
  [221/310] Q220: WRONG (got C, correct B) — 24.4% — 32.2s (~84m left)
  [222/310] Q221: WRONG (got C, correct D) — 24.3% — 64.9s (~83m left)
  [223/310] Q222: WRONG (got A, correct D) — 24.2% — 20.8s (~82m left)
  [224/310] Q223: CORRECT (got D, correct D) — 24.6% — 51.2s (~81m left)
  [225/310] Q224: WRONG (got B, correct C) — 24.4% — 76.4s (~80m left)
  [226/310] Q225: WRONG (got D, correct A) — 24.3% — 26.6s (~79m left)
  [227/310] Q226: WRONG (got D, correct C) — 24.2% — 59.3s (~78m left)
  [228/310] Q227: WRONG (got C, correct D) — 24.1% — 33.3s (~77m left)
  [229/310] Q228: CORRECT (got D, correct D) — 24.5% — 44.1s (~76m left)
  [230/310] Q229: WRONG (got C, correct B) — 24.3% — 65.8s (~75m left)
  [231/310] Q230: WRONG (got D, correct B) — 24.2% — 29.6s (~74m left)
  [232/310] Q231: CORRECT (got B, correct B) — 24.6% — 37.9s (~73m left)
  [233/310] Q232: WRONG (got B, correct D) — 24.5% — 32.3s (~72m left)
  [234/310] Q233: WRONG (got B, correct D) — 24.4% — 62.4s (~71m left)
  [235/310] Q234: WRONG (got C, correct B) — 24.3% — 37.2s (~70m left)
  [236/310] Q235: CORRECT (got D, correct D) — 24.6% — 57.9s (~69m left)
  [237/310] Q236: CORRECT (got D, correct D) — 24.9% — 75.9s (~68m left)
  [238/310] Q237: CORRECT (got B, correct B) — 25.2% — 56.5s (~67m left)
  [239/310] Q238: WRONG (got A, correct C) — 25.1% — 21.6s (~66m left)
  [240/310] Q239: CORRECT (got C, correct C) — 25.4% — 49.5s (~65m left)
  [241/310] Q240: WRONG (got B, correct C) — 25.3% — 62.2s (~64m left)
  [242/310] Q241: WRONG (got C, correct D) — 25.2% — 37.3s (~63m left)
  [243/310] Q242: WRONG (got D, correct B) — 25.1% — 76.4s (~62m left)
  [244/310] Q243: ERROR (got None, correct B) — 25.0% — 21.4s (~61m left)
  [245/310] Q244: WRONG (got C, correct D) — 24.9% — 44.4s (~60m left)
  [246/310] Q245: WRONG (got C, correct B) — 24.8% — 22.4s (~59m left)
  [247/310] Q246: WRONG (got C, correct D) — 24.7% — 47.7s (~58m left)
  [248/310] Q247: WRONG (got B, correct A) — 24.6% — 46.6s (~57m left)
  [249/310] Q248: WRONG (got D, correct B) — 24.5% — 61.0s (~57m left)
  [250/310] Q249: WRONG (got B, correct C) — 24.4% — 34.0s (~55m left)
  [251/310] Q250: WRONG (got D, correct C) — 24.3% — 50.4s (~55m left)
  [252/310] Q251: WRONG (got D, correct B) — 24.2% — 69.3s (~54m left)
  [253/310] Q252: WRONG (got B, correct A) — 24.1% — 61.5s (~53m left)
  [254/310] Q253: CORRECT (got A, correct A) — 24.4% — 39.3s (~52m left)
  [255/310] Q254: WRONG (got B, correct D) — 24.3% — 42.6s (~51m left)
  [256/310] Q255: WRONG (got C, correct D) — 24.2% — 85.8s (~50m left)
  [257/310] Q256: WRONG (got B, correct D) — 24.1% — 88.8s (~49m left)
  [258/310] Q257: WRONG (got B, correct D) — 24.0% — 35.9s (~48m left)
  [259/310] Q258: WRONG (got D, correct C) — 23.9% — 19.0s (~47m left)
  [260/310] Q259: WRONG (got A, correct D) — 23.8% — 90.5s (~46m left)
  [261/310] Q260: CORRECT (got D, correct D) — 24.1% — 64.9s (~45m left)
  [262/310] Q261: ERROR (got None, correct A) — 24.0% — 15.7s (~44m left)
  [263/310] Q262: WRONG (got B, correct A) — 24.0% — 27.8s (~43m left)
  [264/310] Q263: WRONG (got D, correct C) — 23.9% — 28.1s (~42m left)
  [265/310] Q264: WRONG (got A, correct B) — 23.8% — 62.7s (~41m left)
  [266/310] Q265: CORRECT (got B, correct B) — 24.1% — 30.8s (~40m left)
  [267/310] Q266: CORRECT (got A, correct A) — 24.3% — 64.1s (~40m left)
  [268/310] Q267: WRONG (got A, correct D) — 24.3% — 60.3s (~39m left)
  [269/310] Q268: WRONG (got C, correct A) — 24.2% — 68.7s (~38m left)
  [270/310] Q269: WRONG (got D, correct C) — 24.1% — 73.6s (~37m left)
  [271/310] Q270: CORRECT (got A, correct A) — 24.4% — 76.7s (~36m left)
  [272/310] Q271: WRONG (got A, correct C) — 24.3% — 75.7s (~35m left)
  [273/310] Q272: CORRECT (got A, correct A) — 24.5% — 78.7s (~34m left)
  [274/310] Q273: CORRECT (got A, correct A) — 24.8% — 28.0s (~33m left)
  [275/310] Q274: WRONG (got A, correct B) — 24.7% — 48.1s (~32m left)
  [276/310] Q275: ERROR (got None, correct A) — 24.6% — 10.7s (~31m left)
  [277/310] Q276: WRONG (got A, correct C) — 24.5% — 78.1s (~30m left)
  [278/310] Q277: ERROR (got None, correct B) — 24.5% — 55.9s (~30m left)
  [279/310] Q278: WRONG (got D, correct A) — 24.4% — 5.4s (~29m left)
  [280/310] Q279: CORRECT (got D, correct D) — 24.6% — 38.7s (~28m left)
  [281/310] Q280: CORRECT (got C, correct C) — 24.9% — 23.8s (~27m left)
  [282/310] Q281: WRONG (got A, correct D) — 24.8% — 67.1s (~26m left)
  [283/310] Q282: WRONG (got A, correct D) — 24.7% — 29.1s (~25m left)
  [284/310] Q283: WRONG (got C, correct B) — 24.6% — 30.2s (~24m left)
  [285/310] Q284: CORRECT (got A, correct A) — 24.9% — 48.0s (~23m left)
  [286/310] Q285: WRONG (got C, correct D) — 24.8% — 30.1s (~22m left)
  [287/310] Q286: WRONG (got D, correct B) — 24.7% — 72.4s (~21m left)
  [288/310] Q287: WRONG (got C, correct B) — 24.7% — 44.7s (~20m left)
  [289/310] Q288: CORRECT (got A, correct A) — 24.9% — 57.4s (~19m left)
  [290/310] Q289: WRONG (got C, correct D) — 24.8% — 65.6s (~18m left)
  [291/310] Q290: WRONG (got A, correct D) — 24.7% — 24.3s (~17m left)
  [292/310] Q291: WRONG (got B, correct D) — 24.7% — 54.8s (~16m left)
  [293/310] Q292: WRONG (got A, correct C) — 24.6% — 38.9s (~16m left)
  [294/310] Q293: WRONG (got C, correct D) — 24.5% — 29.0s (~15m left)
  [295/310] Q294: WRONG (got D, correct C) — 24.4% — 47.4s (~14m left)
  [296/310] Q295: WRONG (got A, correct D) — 24.3% — 51.8s (~13m left)
  [297/310] Q296: WRONG (got C, correct D) — 24.2% — 23.8s (~12m left)
  [298/310] Q297: CORRECT (got D, correct D) — 24.5% — 27.2s (~11m left)
  [299/310] Q298: WRONG (got D, correct A) — 24.4% — 43.4s (~10m left)
  [300/310] Q299: WRONG (got B, correct D) — 24.3% — 36.6s (~9m left)
  [301/310] Q300: ERROR (got None, correct B) — 24.3% — 20.2s (~8m left)
  [302/310] Q301: WRONG (got C, correct D) — 24.2% — 45.4s (~7m left)
  [303/310] Q302: WRONG (got B, correct A) — 24.1% — 49.0s (~6m left)
  [304/310] Q303: WRONG (got C, correct B) — 24.0% — 81.4s (~5m left)
  [305/310] Q304: WRONG (got A, correct B) — 23.9% — 31.4s (~5m left)
  [306/310] Q305: WRONG (got A, correct C) — 23.9% — 66.8s (~4m left)
  [307/310] Q306: CORRECT (got B, correct B) — 24.1% — 25.5s (~3m left)
  [308/310] Q307: WRONG (got B, correct D) — 24.0% — 85.0s (~2m left)
  [309/310] Q308: WRONG (got D, correct B) — 23.9% — 31.9s (~1m left)
  [310/310] Q309: WRONG (got D, correct B) — 23.9% — 42.0s (~0m left)

  ==================================================
  MMLU High School Biology — wavefront_pure
  Model: wavefront_only
  ==================================================
  Total: 310
  Correct:   74 (23.9%)
  Incorrect: 222
  Errors:    14
  Time: 279.6 min
  ==================================================

